unit,blanco,brown,bush,chertoff,landrieu,nagin,vitter,ranking,treat,form,female,age,educ,ideology,partyid3
1,7,2,1,6,5,4,3,7216543,0,2,0,59,3,4,3
2,7,2,1,3,5,6,4,7213564,1,1,0,20,2,4,3
3,7,2,1,3,6,4,5,7213645,1,1,1,76,3,4,3
4,7,2,1,5,4,6,3,7215463,1,2,0,75,3,4,3
5,5,2,1,3,6,7,4,5213674,0,1,1,58,2,6,3
6,6,5,1,2,4,3,7,6512437,0,1,1,42,6,1,3
7,2,5,1,3,7,6,4,2513764,0,2,0,73,3,2,3
8,NA,NA,NA,NA,NA,NA,NA,-------,1,2,0,57,3,5,3
9,6,3,1,5,7,4,2,6315742,1,1,0,28,2,4,3
10,2,1,7,5,4,6,3,2175463,0,2,1,52,3,4,3
11,4,2,1,6,3,7,5,4216375,0,2,1,76,4,2,3
12,5,4,2,1,7,3,6,5421736,0,2,1,41,3,4,3
13,5,3,1,4,7,6,2,5314762,0,2,0,75,2,4,3
14,6,4,1,3,7,5,2,6413752,0,2,0,54,4,4,3
15,6,1,2,3,7,4,5,6123745,0,2,1,28,7,1,3
16,6,2,1,5,4,7,3,6215473,1,2,1,73,3,4,3
17,7,4,1,3,6,2,5,7413625,0,2,1,61,3,2,3
18,5,3,2,6,1,4,7,5326147,0,1,1,64,3,2,3
19,1,6,2,3,5,7,4,1623574,0,2,0,27,3,2,3
20,3,7,1,2,5,6,4,3712564,0,1,1,71,3,6,3
21,6,3,4,5,2,1,7,6345217,0,2,1,77,4,2,3
22,5,4,7,6,3,1,2,5476312,0,1,0,56,6,7,3
23,6,2,1,3,7,5,4,6213754,1,1,1,56,7,4,3
24,4,6,1,2,5,3,7,4612537,0,1,0,41,1,4,3
25,2,5,7,3,4,1,6,2573416,0,2,1,29,4,3,3
26,7,4,1,3,5,2,6,7413526,0,1,1,71,3,2,3
27,5,2,1,7,3,4,6,5217346,0,2,0,39,3,4,3
28,5,2,1,3,6,7,4,5213674,1,1,0,60,7,3,3
29,2,6,7,4,3,1,5,2674315,0,2,1,42,7,5,3
30,5,4,2,3,6,1,7,5423617,1,1,0,61,5,5,3
31,7,3,1,2,5,4,6,7312546,1,1,0,57,6,4,3
32,4,2,1,3,5,7,6,4213576,0,2,1,63,3,4,3
33,6,3,1,2,7,5,4,6312754,1,1,0,28,4,3,3
34,6,2,1,3,7,5,4,6213754,0,2,0,62,9,2,3
35,NA,NA,NA,NA,NA,NA,NA,-------,1,1,1,55,6,2,3
36,4,3,1,2,7,5,6,4312756,1,2,1,72,3,4,3
37,5,6,1,4,2,3,7,5614237,1,1,1,29,6,3,3
38,NA,NA,1,NA,NA,NA,NA,--1----,0,1,1,33,6,4,3
39,NA,2,1,3,NA,NA,4,-213--4,1,2,0,20,3,3,3
40,5,4,1,2,7,6,3,5412763,0,1,1,32,6,2,3
41,5,2,1,3,7,6,4,5213764,0,1,1,45,4,1,3
42,6,3,1,2,7,5,4,6312754,1,2,1,33,6,3,3
43,7,5,1,4,3,2,6,7514326,0,1,0,44,3,6,3
44,6,4,1,2,7,3,5,6412735,1,2,0,59,7,2,3
45,2,4,5,6,7,1,3,2456713,0,2,1,21,6,4,3
46,7,2,1,3,5,6,4,7213564,1,2,1,18,2,1,3
47,6,2,1,5,7,3,4,6215734,1,1,1,40,5,6,3
48,5,4,1,3,7,6,2,5413762,0,2,0,37,3,4,3
49,5,2,1,3,6,7,4,5213674,0,1,0,19,2,4,3
50,7,5,1,2,6,4,3,7512643,0,2,0,21,2,4,3
51,4,3,2,1,7,6,5,4321765,1,2,0,33,3,4,3
52,7,2,1,6,4,3,5,7216435,0,1,1,50,4,4,3
53,5,2,1,3,7,6,4,5213764,1,2,1,56,4,1,3
54,4,3,1,2,6,7,5,4312675,0,2,0,50,1,4,3
55,7,2,1,5,6,4,3,7215643,0,1,0,72,4,4,3
56,7,5,1,4,3,2,6,7514326,0,2,0,39,3,1,3
57,5,1,2,3,7,4,6,5123746,0,2,1,69,6,4,3
58,2,1,6,4,3,5,7,2164357,1,2,1,44,5,4,3
59,7,2,1,3,6,4,5,7213645,1,2,1,51,1,1,3
60,5,4,1,3,6,7,2,5413672,1,1,1,51,3,5,3
61,7,2,3,4,6,1,5,7234615,1,1,1,62,3,3,3
62,4,1,3,7,5,2,6,4137526,1,1,1,29,4,5,3
63,3,4,7,2,1,6,5,3472165,0,2,1,27,4,2,3
64,6,4,1,5,7,2,3,6415723,0,1,0,31,8,2,3
65,5,2,1,4,7,3,6,5214736,0,1,1,27,7,2,3
66,4,5,3,1,7,2,6,4531726,1,2,1,31,5,2,3
67,6,7,1,5,3,4,2,6715342,0,1,1,28,4,2,3
68,4,1,2,3,6,5,7,4123657,0,1,1,54,7,2,3
69,3,1,5,4,6,2,7,3154627,0,2,0,71,7,3,3
70,5,2,1,4,7,6,3,5214763,1,2,1,26,6,2,3
71,2,4,1,7,5,6,3,2417563,0,1,1,62,1,2,3
72,4,7,1,5,3,2,6,4715326,1,2,0,28,3,4,3
73,6,2,1,3,7,5,4,6213754,1,1,1,25,6,4,3
74,7,6,1,3,5,4,2,7613542,0,1,1,48,4,4,3
75,7,2,1,4,5,3,6,7214536,1,1,0,21,4,2,3
76,7,3,1,5,4,6,2,7315462,0,1,0,20,4,4,3
77,3,5,1,4,6,2,7,3514627,1,1,1,71,1,6,3
78,2,4,7,1,6,3,5,2471635,0,2,0,43,4,4,3
79,3,2,1,4,6,5,7,3214657,0,1,0,49,4,2,3
80,4,3,1,2,6,5,7,4312657,0,1,1,40,7,4,3
81,6,4,1,2,7,3,5,6412735,1,2,1,61,4,4,3
82,6,2,1,3,5,4,7,6213547,0,2,0,33,7,2,3
83,3,2,1,5,7,4,6,3215746,1,2,1,69,4,4,3
84,5,2,1,4,6,7,3,5214673,1,1,1,35,8,2,3
85,6,2,1,4,7,5,3,6214753,1,1,1,38,6,2,3
86,5,4,1,3,7,2,6,5413726,1,1,1,45,3,2,3
87,5,4,1,2,6,7,3,5412673,1,2,0,54,4,1,3
88,3,5,2,7,1,6,4,3527164,0,2,0,45,3,6,3
89,3,6,1,5,7,2,4,3615724,0,2,1,60,3,4,3
90,4,6,1,5,7,2,3,4615723,1,1,0,29,4,4,3
91,4,1,6,2,7,5,3,4162753,0,2,0,57,6,3,3
92,5,2,1,3,4,7,6,5213476,0,1,1,49,3,4,3
93,6,2,1,3,7,5,4,6213754,1,1,0,41,6,3,3
94,3,6,1,4,5,2,7,3614527,1,2,0,31,4,2,3
95,6,4,1,3,7,5,2,6413752,1,1,0,35,3,4,3
96,7,3,1,2,5,6,4,7312564,1,1,0,36,4,3,3
