unit,id,treat,ch_civil,ch_uncivil,ch_intolerant,ch_threatening,treatment,uncivil,intolerant,threatening,pid,rank1,gender,agegroup,racecat_anes,educ,fil_lurker_visit,anger,disgust,pid7
228,228,1,4,2,1,3,intolerant,100,100,77,Democrat,intolerant,Female,Born 1975-1990,White,Postgraduate (e.g. Masters),Every day  ,81,82,Leaning Democrat
229,229,1,4,1,2,3,intolerant,40,31,0,Independent,uncivil,Male,Born 1991 or later,Hispanic,College,Every day  ,20,9,Independent
230,230,0,2,3,1,4,control,24,77,34,Independent,intolerant,Male,Born 1959-1974,White,College,A few times a month  ,32,62,Independent
231,231,0,4,2,1,3,control,100,100,10,Democrat,intolerant,Female,Born 1959-1974,Race other/multiple,College,A few times a month  ,100,90,Democrat
232,232,1,4,1,3,2,intolerant,98,96,100,Independent,uncivil,Female,Born 1975-1990,White,High school graduate,Every day  ,100,100,Independent
233,233,0,1,3,2,4,control,0,28,0,Republican,civil,Female,Born 1975-1990,White,Professional degree,Every day  ,0,0,Republican
234,234,1,4,2,1,3,intolerant,75,95,7,Democrat,intolerant,Male,Born 1991 or later,White,College,Every day  ,4,44,Democrat
235,235,1,4,2,1,3,intolerant,63,49,49,Democrat,intolerant,Female,Born 1991 or later,NA,College,Every day  ,54,48,Leaning Democrat
236,236,0,4,2,1,3,control,63,3,4,Democrat,intolerant,Male,Born 1991 or later,White,College,Every day  ,0,58,Leaning Democrat
237,237,1,4,2,1,3,intolerant,71,100,36,Democrat,intolerant,Female,Born 1959-1974,White,High school graduate,Every day  ,23,83,Democrat
238,238,0,4,2,1,3,control,60,100,30,Democrat,intolerant,Female,Born 1975-1990,White,Postgraduate (e.g. Masters),Every day  ,100,100,Strong Democrat
239,239,1,4,2,1,3,intolerant,100,100,66,Republican,intolerant,Male,Born 1975-1990,White,College,Every day  ,11,77,Republican
240,240,1,4,2,1,3,intolerant,100,100,61,Democrat,intolerant,Male,Born 1975-1990,White,High school graduate,Every day  ,58,100,Leaning Democrat
241,241,0,3,2,1,4,control,20,100,0,Democrat,intolerant,Female,Born 1959-1974,White,PhD,Less often,100,80,Strong Democrat
242,242,0,4,1,2,3,control,92,86,16,Democrat,uncivil,Male,Born 1975-1990,White,High school graduate,Every day  ,34,18,Democrat
243,243,1,4,2,1,3,intolerant,100,100,70,Independent,intolerant,Male,Born 1991 or later,White,College,At least once a week but not every day  ,100,100,Independent
244,244,0,4,1,2,3,control,100,100,70,Independent,uncivil,Female,Born 1975-1990,White,College,Every day  ,100,100,Independent
245,245,0,1,3,2,4,control,12,44,0,Republican,civil,Female,Born 1975-1990,White,College,Every day  ,0,0,Leaning Republican
246,246,1,4,2,1,3,intolerant,100,99,58,Democrat,intolerant,Female,Born 1975-1990,White,College,Every day  ,65,100,Democrat
247,247,0,2,3,1,4,control,10,90,30,Independent,intolerant,Female,Born 1975-1990,White,Professional degree,Every day  ,30,75,Independent
248,248,0,4,2,1,3,control,82,96,59,Democrat,intolerant,Female,Born 1975-1990,White,High school graduate,Every day  ,87,90,Strong Democrat
249,249,1,4,2,1,3,intolerant,50,87,15,Democrat,intolerant,Female,Born 1975-1990,White,College,Every day  ,59,71,Leaning Democrat
250,250,1,4,1,2,3,intolerant,91,85,56,Independent,uncivil,Male,Born 1975-1990,White,Postgraduate (e.g. Masters),Every day  ,83,100,Independent
251,251,0,1,3,2,4,control,68,83,4,Republican,civil,Male,Born 1975-1990,White,Professional degree,Every day  ,13,15,Republican
252,252,1,4,2,1,3,intolerant,98,100,9,Democrat,intolerant,Female,Born 1959-1974,White,College,Every day  ,95,94,Democrat
253,253,1,4,2,1,3,intolerant,92,100,72,Democrat,intolerant,Female,Born 1975-1990,White,"Professional degree,College",Every day  ,80,100,Leaning Democrat
254,254,0,4,2,1,3,control,100,100,25,Independent,intolerant,Female,Born 1991 or later,White,College,Every day  ,17,100,Independent
255,255,0,4,3,1,2,control,73,90,70,Democrat,intolerant,Female,Born 1991 or later,White,College,Every day  ,64,84,Democrat
256,256,1,4,2,1,3,intolerant,51,57,0,Republican,intolerant,Female,Born 1959-1974,White,Postgraduate (e.g. Masters),Every day  ,0,0,Republican
257,257,0,2,3,1,4,control,50,100,0,Independent,intolerant,Male,Born 1975-1990,Black,High school graduate,At least once a week but not every day  ,0,0,Independent
258,258,1,4,1,2,3,intolerant,0,0,22,Independent,uncivil,Male,Born 1991 or later,White,High school graduate,Less often,100,100,Independent
259,259,0,2,3,1,4,control,20,80,0,Democrat,intolerant,Male,Born 1975-1990,Race other/multiple,College,Every day  ,0,65,Leaning Democrat
260,260,0,2,3,1,4,control,50,100,0,Democrat,intolerant,Female,Born 1991 or later,White,College,Every day  ,85,100,Leaning Democrat
261,261,0,4,3,2,1,control,90,96,100,Democrat,threatening,Female,Born 1991 or later,White,College,Every day  ,81,100,Democrat
262,262,1,4,2,1,3,intolerant,80,100,40,Republican,intolerant,Female,Born 1943-1958,White,High school graduate,Every day  ,51,32,Republican
263,263,1,4,2,1,3,intolerant,100,100,71,Democrat,intolerant,Female,Born 1991 or later,White,High school graduate,Every day  ,79,100,Democrat
264,264,0,1,3,2,4,control,29,4,0,Democrat,civil,Female,Born 1991 or later,Black,High school graduate,Every day  ,0,67,Democrat
265,265,1,4,2,1,3,intolerant,90,90,5,Republican,intolerant,Female,Born 1975-1990,White,Professional degree,Every day  ,10,2,Leaning Republican
266,266,1,4,3,1,2,intolerant,100,100,53,Democrat,intolerant,Female,Born 1975-1990,White,College,A few times a month  ,100,100,Strong Democrat
267,267,0,1,3,2,4,control,10,50,2,Independent,civil,Male,Born 1959-1974,White,College,At least once a week but not every day  ,10,40,Independent
268,268,1,4,2,1,3,intolerant,70,100,9,Democrat,intolerant,Male,Born 1991 or later,Race other/multiple,Postgraduate (e.g. Masters),Every day  ,81,100,Strong Democrat
269,269,0,3,2,1,4,control,75,100,0,Democrat,intolerant,Female,Born 1975-1990,White,Postgraduate (e.g. Masters),Every day  ,80,90,Leaning Democrat
270,270,0,4,2,1,3,control,75,100,18,Democrat,intolerant,Male,Born 1975-1990,White,Professional degree,At least once a week but not every day  ,41,81,Strong Democrat
271,271,1,4,2,1,3,intolerant,99,98,38,Democrat,intolerant,Female,Born 1959-1974,White,Postgraduate (e.g. Masters),Every day  ,84,91,Strong Democrat
272,272,0,4,3,1,2,control,100,100,100,Democrat,intolerant,Female,Born 1991 or later,White,High school graduate,Every day  ,100,100,Strong Democrat
273,273,1,4,2,1,3,intolerant,85,92,74,Independent,intolerant,Female,Born 1991 or later,NA,High school graduate,Less often,19,28,Independent
274,274,0,2,4,3,1,control,67,100,38,Democrat,threatening,Female,Born 1991 or later,White,Postgraduate (e.g. Masters),Every day  ,71,85,Democrat
275,275,1,4,1,3,2,intolerant,100,80,90,Republican,uncivil,Female,Born 1975-1990,White,College,Every day  ,80,100,Leaning Republican
276,276,0,3,2,1,4,control,75,100,20,Democrat,intolerant,Female,Born 1975-1990,White,College,Every day  ,40,90,Strong Democrat
277,277,1,4,2,3,1,intolerant,84,65,70,Republican,threatening,Female,Born 1991 or later,White,College,Every day  ,56,55,Leaning Republican
278,278,0,4,3,1,2,control,68,100,92,Democrat,intolerant,Female,Born 1975-1990,White,Postgraduate (e.g. Masters),Every day  ,81,74,Democrat
279,279,1,4,2,1,3,intolerant,100,100,71,Republican,intolerant,Female,Born 1975-1990,White,Postgraduate (e.g. Masters),Every day  ,61,82,Leaning Republican
280,280,0,3,2,1,4,control,74,84,7,Democrat,intolerant,Female,Born 1943-1958,White,College,Every day  ,18,53,Strong Democrat
281,281,1,4,1,2,3,intolerant,100,100,54,Democrat,uncivil,Female,Born 1991 or later,White,High school graduate,Every day  ,55,95,Democrat
282,282,0,2,3,1,4,control,57,88,3,Democrat,intolerant,Female,Born 1975-1990,White,College,Every day  ,71,65,Democrat
283,283,1,4,1,3,2,intolerant,91,51,0,Republican,uncivil,Female,Born 1959-1974,White,College,Every day  ,70,70,Leaning Republican
284,284,0,3,2,1,4,control,76,100,7,Independent,intolerant,Male,Born 1991 or later,Race other/multiple,High school graduate,Every day  ,14,70,Independent
285,285,1,1,4,3,2,intolerant,83,95,14,Republican,civil,Male,Born 1991 or later,White,High school graduate,Every day  ,67,59,Republican
286,286,1,3,4,1,2,intolerant,56,70,19,Republican,intolerant,Female,Born 1991 or later,White,High school graduate,Every day  ,0,21,Strong Republican
287,287,0,3,2,1,4,control,65,100,10,Democrat,intolerant,Other,Born 1991 or later,White,High school graduate,At least once a week but not every day  ,94,100,Democrat
288,288,1,4,1,3,2,intolerant,100,100,100,Republican,uncivil,Female,Born 1991 or later,Hispanic,High school graduate,Every day  ,43,53,Strong Republican
289,289,0,4,3,1,2,control,100,100,100,Republican,intolerant,Male,Born 1975-1990,Black,College,Less often,100,100,Leaning Republican
290,290,1,4,2,1,3,intolerant,90,90,80,Republican,intolerant,Male,Born 1959-1974,White,Postgraduate (e.g. Masters),Every day  ,80,90,Leaning Republican
291,291,0,3,1,2,4,control,36,60,16,Independent,uncivil,Female,Born 1991 or later,White,College,Every day  ,24,40,Independent
292,292,1,4,1,3,2,intolerant,72,82,79,Democrat,uncivil,Male,Born 1991 or later,White,High school graduate,Every day  ,50,59,Leaning Democrat
293,293,0,1,2,3,4,control,0,0,0,Republican,civil,Male,Born 1991 or later,Hispanic,High school graduate,Every day  ,0,0,Strong Republican
294,294,0,3,2,1,4,control,54,91,7,Independent,intolerant,Female,Born 1991 or later,White,High school graduate,Every day  ,57,39,Independent
295,295,1,4,2,1,3,intolerant,85,100,65,Democrat,intolerant,Male,Born 1959-1974,White,College,Every day  ,65,85,Democrat
296,296,1,3,2,1,4,intolerant,71,68,7,Independent,intolerant,Male,Born 1959-1974,White,High school graduate,Every day  ,0,0,Independent
297,297,0,2,4,1,3,control,35,75,35,Democrat,intolerant,Male,Born 1991 or later,White,College,At least once a week but not every day  ,51,51,Democrat
298,298,0,2,4,1,3,control,14,74,18,Democrat,intolerant,Male,Born 1991 or later,White,College,Less often,62,71,Leaning Democrat
299,299,1,4,2,1,3,intolerant,77,88,31,Democrat,intolerant,Male,Born 1991 or later,Hispanic,High school graduate,Every day  ,14,63,Strong Democrat
300,300,0,4,1,2,3,control,91,87,62,Republican,uncivil,Female,Born 1991 or later,White,High school graduate,Every day  ,55,82,Leaning Republican
301,301,1,4,1,2,3,intolerant,76,60,0,Democrat,uncivil,Male,Born 1991 or later,White,High school graduate,Less often,10,75,Democrat
302,302,1,4,3,1,2,intolerant,41,100,90,Democrat,intolerant,Male,Born 1991 or later,White,Professional degree,At least once a week but not every day  ,100,100,Democrat
303,303,0,2,1,3,4,control,65,56,42,Republican,uncivil,Female,Born 1991 or later,White,College,Every day  ,65,55,Leaning Republican
304,304,1,4,1,2,3,intolerant,100,100,78,Democrat,uncivil,Female,Born 1991 or later,Black,High school graduate,Every day  ,62,75,Democrat
305,305,0,1,2,3,4,control,36,36,36,Independent,civil,Female,Born 1991 or later,Race other/multiple,Postgraduate (e.g. Masters),Every day  ,28,29,Independent
306,306,1,4,2,1,3,intolerant,81,80,19,Independent,intolerant,Female,Born 1991 or later,White,High school graduate,Every day  ,90,87,Independent
307,307,0,4,2,1,3,control,93,95,6,Democrat,intolerant,Female,Born 1975-1990,White,Professional degree,Every day  ,65,96,Strong Democrat
308,308,1,4,3,1,2,intolerant,85,100,92,Democrat,intolerant,Male,Born 1975-1990,Race other/multiple,College,Every day  ,51,51,Democrat
309,309,0,3,2,1,4,control,11,12,4,Democrat,intolerant,Female,Born 1975-1990,Hispanic,High school graduate,Every day  ,82,80,Strong Democrat
310,310,1,4,1,3,2,intolerant,81,90,100,Independent,uncivil,Male,Born 1975-1990,Hispanic,High school graduate,Every day  ,93,100,Independent
311,311,0,4,2,1,3,control,88,100,13,Independent,intolerant,Female,Born 1991 or later,White,High school graduate,At least once a week but not every day  ,89,95,Independent
312,312,1,3,2,1,4,intolerant,72,100,16,Independent,intolerant,Female,Born 1975-1990,White,High school graduate,Every day  ,60,51,Independent
313,313,0,2,3,1,4,control,50,100,25,Democrat,intolerant,Female,Born 1975-1990,Race other/multiple,Postgraduate (e.g. Masters),Every day  ,82,0,Strong Democrat
314,314,0,4,2,1,3,control,75,100,70,Democrat,intolerant,Female,Born 1991 or later,White,Professional degree,Every day  ,70,70,Leaning Democrat
315,315,1,4,2,1,3,intolerant,81,100,76,Democrat,intolerant,Male,Born 1975-1990,White,Postgraduate (e.g. Masters),A few times a month  ,88,91,Leaning Democrat
316,316,1,4,1,2,3,intolerant,97,98,32,Democrat,uncivil,Female,Born 1975-1990,Hispanic,Postgraduate (e.g. Masters),At least once a week but not every day  ,78,92,Strong Democrat
317,317,0,3,2,1,4,control,100,88,17,Independent,intolerant,Female,Born 1991 or later,Black,High school graduate,A few times a month  ,100,72,Independent
318,318,0,1,2,3,4,control,7,7,8,Independent,civil,Male,Born 1959-1974,White,Professional degree,Less often,0,0,Independent
319,319,1,4,1,2,3,intolerant,71,58,34,Independent,uncivil,Female,Born 1991 or later,Race other/multiple,College,At least once a week but not every day  ,45,64,Independent
320,320,1,3,1,2,4,intolerant,83,76,32,Republican,uncivil,Male,Born 1975-1990,White,High school graduate,Every day  ,8,30,Leaning Republican
321,321,0,4,2,1,3,control,87,100,60,Independent,intolerant,Female,Born 1991 or later,White,High school graduate,Every day  ,25,66,Independent
322,322,0,3,2,1,4,control,88,98,61,Democrat,intolerant,Female,Born 1975-1990,Race other/multiple,College,A few times a month  ,84,90,Democrat
323,323,1,4,1,2,3,intolerant,100,100,90,Democrat,uncivil,Male,Born 1991 or later,Hispanic,High school graduate,Every day  ,25,100,Democrat
324,324,1,2,3,1,4,intolerant,33,82,3,Democrat,intolerant,Female,Born 1991 or later,White,"High school graduate,College",Every day  ,92,100,Democrat
325,325,1,3,2,1,4,intolerant,80,90,10,Independent,intolerant,Female,Born 1991 or later,Race other/multiple,College,Every day  ,10,60,Independent
326,326,0,4,2,1,3,control,68,87,42,Democrat,intolerant,Female,Born 1975-1990,White,Postgraduate (e.g. Masters),Every day  ,23,33,Leaning Democrat
327,327,1,4,3,1,2,intolerant,89,100,34,Republican,intolerant,Female,Born 1975-1990,White,High school graduate,Every day  ,80,100,Leaning Republican
328,328,0,3,1,2,4,control,48,15,9,Independent,uncivil,Male,Born 1991 or later,Black,High school graduate,Every day  ,0,0,Independent
329,329,0,4,2,1,3,control,68,62,20,Independent,intolerant,Female,Born 1975-1990,White,College,Every day  ,7,52,Independent
330,330,1,4,2,1,3,intolerant,75,95,60,Independent,intolerant,Male,Born 1991 or later,White,College,Every day  ,70,75,Independent
331,331,0,3,2,1,4,control,75,100,20,Democrat,intolerant,Male,Born 1975-1990,White,Less than high school,Every day  ,90,90,Strong Democrat
332,332,1,4,2,3,1,intolerant,100,100,100,Democrat,threatening,Female,Born 1991 or later,Black,College,Every day  ,100,100,Democrat
333,333,1,3,1,4,2,intolerant,60,100,51,Democrat,uncivil,Other,Born 1991 or later,White,High school graduate,Every day  ,100,100,Strong Democrat
334,334,1,4,2,3,1,intolerant,64,74,84,Democrat,threatening,Male,Born 1991 or later,Black,Postgraduate (e.g. Masters),Every day  ,78,78,Democrat
335,335,0,4,2,1,3,control,100,100,20,Democrat,intolerant,Female,Born 1959-1974,White,High school graduate,Every day  ,100,100,Democrat
336,336,0,3,2,1,4,control,100,96,25,Democrat,intolerant,Female,Born 1943-1958,Black,College,A few times a month  ,75,90,Democrat
337,337,1,4,1,3,2,intolerant,100,94,97,Democrat,uncivil,Female,Born 1991 or later,White,High school graduate,At least once a week but not every day  ,100,100,Leaning Democrat
338,338,0,2,3,1,4,control,27,100,3,Independent,intolerant,Female,Born 1991 or later,Race other/multiple,College,Every day  ,23,80,Independent
339,339,0,4,1,2,3,control,100,75,66,Democrat,uncivil,Female,Born 1991 or later,White,College,Every day  ,100,100,Strong Democrat
340,340,1,4,2,1,3,intolerant,66,82,55,Democrat,intolerant,Female,Born 1991 or later,Hispanic,College,Every day  ,82,74,Strong Democrat
341,341,1,4,2,1,3,intolerant,100,100,70,Democrat,intolerant,Male,Born 1991 or later,White,High school graduate,Every day  ,70,100,Democrat
342,342,1,4,1,2,3,intolerant,100,100,68,Independent,uncivil,Female,Born 1991 or later,White,Postgraduate (e.g. Masters),Every day  ,21,100,Independent
343,343,0,4,2,1,3,control,87,69,17,Democrat,intolerant,Male,Born 1975-1990,White,High school graduate,Every day  ,61,89,Democrat
344,344,0,4,1,2,3,control,80,80,35,Democrat,uncivil,Male,Born 1991 or later,White,College,A few times a month  ,70,55,Leaning Democrat
345,345,1,4,2,1,3,intolerant,91,100,89,Independent,intolerant,Female,Born 1975-1990,Race other/multiple,College,Every day  ,100,100,Independent
346,346,0,4,1,2,3,control,97,100,88,Democrat,uncivil,Male,Born 1991 or later,Race other/multiple,College,Every day  ,92,68,Strong Democrat
347,347,0,4,2,1,3,control,100,90,55,Republican,intolerant,Male,Born 1991 or later,White,College,Every day  ,56,52,Republican
348,348,1,3,4,1,2,intolerant,49,56,49,Independent,intolerant,Male,Born 1975-1990,Race other/multiple,High school graduate,At least once a week but not every day  ,54,47,Independent
349,349,0,4,2,3,1,control,57,55,57,Democrat,threatening,Male,Born 1975-1990,Black,College,Every day  ,57,46,Leaning Democrat
350,350,1,3,2,1,4,intolerant,100,100,0,Republican,intolerant,Male,Born 1975-1990,White,College,Less often,20,75,Leaning Republican
351,351,0,1,4,3,2,control,77,61,54,Democrat,civil,Male,Born 1991 or later,Race other/multiple,College,Every day  ,73,65,Democrat
352,352,1,4,2,1,3,intolerant,56,91,30,Democrat,intolerant,Male,Born 1991 or later,White,High school graduate,Every day  ,15,30,Democrat
353,353,1,4,2,1,3,intolerant,30,50,5,Republican,intolerant,Male,Born 1991 or later,White,College,Every day  ,0,0,Leaning Republican
354,354,0,1,4,3,2,control,58,57,83,Democrat,civil,Male,Born 1991 or later,Race other/multiple,College,Every day  ,24,23,Leaning Democrat
355,355,0,1,3,2,4,control,0,0,0,Republican,civil,Male,Born 1959-1974,Black,College,Every day  ,0,0,Republican
356,356,1,4,2,1,3,intolerant,69,87,54,Democrat,intolerant,Male,Born 1991 or later,White,College,Every day  ,46,40,Leaning Democrat
357,357,0,3,2,1,4,control,56,89,32,Independent,intolerant,Male,Born 1991 or later,White,College,At least once a week but not every day  ,58,69,Independent
358,358,1,4,1,2,3,intolerant,100,100,30,Democrat,uncivil,Male,Born 1975-1990,Race other/multiple,College,Less often,20,85,Democrat
359,359,0,4,3,1,2,control,74,93,71,Independent,intolerant,Male,Born 1943-1958,White,Postgraduate (e.g. Masters),Less often,29,34,Independent
360,360,1,1,4,2,3,intolerant,41,36,44,Republican,civil,Male,Born 1975-1990,White,Postgraduate (e.g. Masters),Every day  ,21,29,Leaning Republican
361,361,1,4,1,2,3,intolerant,86,71,33,Independent,uncivil,Male,Born 1991 or later,White,High school graduate,Every day  ,62,58,Independent
362,362,0,4,2,1,3,control,88,95,35,Democrat,intolerant,Male,Born 1975-1990,White,College,Every day  ,75,85,Leaning Democrat
363,363,0,3,2,1,4,control,90,100,0,Democrat,intolerant,Male,Born 1991 or later,White,College,Every day  ,25,65,Democrat
364,364,1,4,2,1,3,intolerant,80,80,20,Independent,intolerant,Male,Born 1975-1990,White,High school graduate,Every day  ,20,80,Independent
365,365,0,1,3,2,4,control,10,20,5,Republican,civil,Male,Born 1959-1974,White,College,Every day  ,0,0,Republican
366,366,1,4,2,1,3,intolerant,92,95,52,Democrat,intolerant,Male,Born 1975-1990,Race other/multiple,College,Every day  ,69,100,Democrat
367,367,1,4,2,1,3,intolerant,90,100,10,Independent,intolerant,Male,Born 1991 or later,White,High school graduate,Every day  ,1,3,Independent
368,368,0,1,3,2,4,control,30,20,10,Republican,civil,Male,Born 1975-1990,White,College,Every day  ,15,25,Leaning Republican
369,369,0,2,1,3,4,control,71,60,0,Independent,uncivil,Male,Born 1975-1990,White,College,At least once a week but not every day  ,0,10,Independent
370,370,1,3,2,1,4,intolerant,100,100,10,Democrat,intolerant,Male,Born 1943-1958,White,High school graduate,Less often,20,69,Strong Democrat
371,371,0,1,3,2,4,control,5,10,0,Democrat,civil,Male,Born 1991 or later,White,High school graduate,Every day  ,10,10,Leaning Democrat
372,372,1,3,1,2,4,intolerant,100,100,38,Independent,uncivil,Male,Born 1975-1990,White,Postgraduate (e.g. Masters),Every day  ,52,68,Independent
373,373,1,4,2,1,3,intolerant,100,100,10,Democrat,intolerant,Male,Born 1991 or later,White,Postgraduate (e.g. Masters),Every day  ,100,100,Democrat
374,374,0,3,2,1,4,control,25,25,1,Republican,intolerant,Male,Born 1991 or later,White,High school graduate,Every day  ,0,0,Republican
375,375,0,1,2,3,4,control,51,51,51,Independent,civil,Male,Born 1975-1990,White,College,At least once a week but not every day  ,51,51,Independent
376,376,1,3,1,2,4,intolerant,100,100,40,Democrat,uncivil,Male,Born 1991 or later,White,College,Every day  ,80,100,Democrat
377,377,1,4,2,1,3,intolerant,91,100,81,Democrat,intolerant,Male,Born 1975-1990,White,"College,PhD",Every day  ,100,100,Leaning Democrat
378,378,0,4,3,1,2,control,60,78,59,Democrat,intolerant,Female,Born 1991 or later,White,High school graduate,At least once a week but not every day  ,68,75,Leaning Democrat
379,379,1,2,3,1,4,intolerant,26,100,15,Democrat,intolerant,Male,Born 1991 or later,White,Postgraduate (e.g. Masters),A few times a month  ,29,59,Strong Democrat
380,380,0,1,3,2,4,control,33,38,43,Independent,civil,Male,Born 1991 or later,Race other/multiple,College,At least once a week but not every day  ,17,26,Independent
