unit,chesbro,kelley,murkowski,tshibaka,ranking,treat,age,gender,race,partisanship,education,vote_likelihood,display_order
1,4,3,1,2,4312,0,61,Female,White,Republican,Some college but no degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
2,4,3,1,2,4312,0,27,Male,White,Independent,Some college but no degree,Likely,Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)
3,1,2,3,4,1234,0,35,Male,Black or African American,Democrat,Master's degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
4,NA,2,3,1,-231,0,55,Female,White,Republican,Some college but no degree,Very likely,Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)
5,1,NA,2,NA,1-2-,0,45,Female,White,Independent,Bachelor's degree,Very likely,Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
6,NA,NA,NA,1,---1,0,69,Male,White,Independent,Bachelor's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)
7,3,2,1,4,3214,0,68,Female,White,Republican,High school diploma or equivalent,I already voted using Vote-by-Mail,Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
8,3,1,4,2,3142,0,25,Female,White,Independent,Some college but no degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
9,1,NA,NA,NA,1---,0,29,Female,White,Independent,Bachelor's degree,Likely,Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)
10,4,2,3,1,4231,0,36,Female,White,Republican,High school diploma or equivalent,Likely,Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)
11,4,2,3,1,4231,0,27,Female,American Indian and Alaska Native,Independent,High school diploma or equivalent,Likely,Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
12,2,3,1,4,2314,0,32,Female,White,Democrat,Associate degree,Very likely,Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)
13,NA,1,NA,NA,-1--,0,33,Female,White,Other Party,Some college but no degree,Likely,Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)
14,1,2,4,3,1243,0,36,Female,White,Democrat,High school diploma or equivalent,Likely,Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)
15,NA,NA,NA,1,---1,0,49,Male,White,Republican,Bachelor's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)
16,NA,2,NA,1,-2-1,0,57,Female,White,Independent,Bachelor's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
17,1,2,3,4,1234,0,24,Other,White,Independent,High school diploma or equivalent,Unlikely,Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)
18,1,3,2,4,1324,0,30,Male,Black or African American,Democrat,High school diploma or equivalent,Very likely,Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
19,NA,2,NA,1,-2-1,0,54,Male,White,Republican,Associate degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)
20,NA,2,3,1,-231,0,51,Female,White,Republican,Master's degree,Very likely,Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)
21,3,2,4,1,3241,0,70,Male,White,Independent,Associate degree,Very unlikely,Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
22,1,2,3,4,1234,0,29,Male,American Indian and Alaska Native,Independent,High school diploma or equivalent,Unlikely,Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)
23,4,1,2,3,4123,0,18,Male,White,Independent,Bachelor's degree,Likely,Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)
24,2,1,4,3,2143,0,37,Male,White,Democrat,Bachelor's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)
25,2,3,1,4,2314,0,80,Female,White,Independent,Some college but no degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
26,4,2,1,3,4213,0,69,Male,American Indian and Alaska Native,Independent,Bachelor's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)
27,2,1,4,3,2143,0,25,Female,White,Independent,Some college but no degree,Likely,Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)
28,3,2,1,4,3214,0,23,Female,American Indian and Alaska Native,Independent,Bachelor's degree,Very likely,Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)
29,2,NA,3,1,2-31,0,33,Female,American Indian and Alaska Native,Other Party,Less than high school diploma,Likely,Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
30,3,2,1,4,3214,0,59,Male,White,Independent,Associate degree,Very unlikely,Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)
31,NA,3,2,1,-321,0,76,Male,White,Republican,Some college but no degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)
32,NA,3,1,2,-312,0,22,Female,White,Republican,High school diploma or equivalent,Very likely,Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
33,1,3,2,4,1324,0,58,Female,White,Democrat,High school diploma or equivalent,Very likely,Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
34,2,1,4,3,2143,0,22,Male,White,Other Party,High school diploma or equivalent,Likely,Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)
35,2,1,4,3,2143,0,44,Female,White,Republican,Some college but no degree,Very unlikely,Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)
36,NA,NA,1,NA,--1-,0,70,Male,White,Republican,Associate degree,Very likely,Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
37,1,2,4,3,1243,0,26,Male,American Indian and Alaska Native,Independent,High school diploma or equivalent,Very likely,Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)
38,2,NA,1,NA,2-1-,0,50,Male,White,Independent,Master's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)
39,3,2,1,4,3214,0,34,Female,White,Independent,Associate degree,Likely,Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
40,NA,NA,1,NA,--1-,0,47,Male,Latino or Hispanic,Independent,Some college but no degree,Very likely,Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
41,NA,NA,1,NA,--1-,0,45,Female,White,Democrat,Associate degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)
42,3,2,4,1,3241,0,44,Male,White,Republican,Associate degree,Very likely,Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)
43,4,2,1,3,4213,0,18,Male,Latino or Hispanic,Republican,Less than high school diploma,Unlikely,Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
44,2,4,1,3,2413,0,31,Female,White,Other Party,Less than high school diploma,Unlikely,Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)
45,1,3,4,2,1342,0,23,Male,Other,Other Party,High school diploma or equivalent,Likely,Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
46,NA,2,NA,1,-2-1,0,81,Male,White,Republican,Some college but no degree,Very likely,Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)
47,1,3,2,4,1324,0,66,Male,White,Democrat,Master's degree,Very likely,Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
48,4,3,1,2,4312,0,39,Male,White,Democrat,Doctorate degree,I already voted using in-person Early Voting,Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)
49,1,3,4,2,1342,0,31,Male,White,Democrat,Master's degree,Likely,Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)
50,1,2,3,4,1234,0,24,Male,White,Democrat,Bachelor's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
51,4,3,1,2,4312,0,52,Female,American Indian and Alaska Native,Republican,High school diploma or equivalent,Other,Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)
52,4,1,2,3,4123,0,31,Female,White,Republican,Bachelor's degree,Very likely,Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
53,1,2,4,3,1243,0,32,Male,White,Democrat,Master's degree,Likely,Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)
54,NA,NA,NA,1,---1,0,30,Male,Latino or Hispanic,Independent,Doctorate degree,I already voted using in-person Early Voting,Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
55,1,4,2,3,1423,0,25,Male,White,Democrat,Bachelor's degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)
56,2,1,4,3,2143,0,70,Female,Other,Independent,Master's degree,I already voted using in-person Early Voting,Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
57,4,1,2,3,4123,0,22,Male,Black or African American,Republican,Master's degree,Very likely,Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
58,4,1,3,2,4132,0,30,Female,Latino or Hispanic,Independent,Master's degree,Very likely,Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
59,2,4,3,1,2431,0,23,Male,Black or African American,Republican,Master's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)
60,3,2,4,1,3241,0,41,Male,White,Independent,Bachelor's degree,Unlikely,Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)
61,4,1,2,3,4123,0,28,Male,Latino or Hispanic,Independent,Master's degree,Very likely,Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
62,3,2,1,4,3214,0,22,Male,Black or African American,Republican,Bachelor's degree,Very likely,Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)
63,1,4,2,3,1423,0,37,Male,White,Democrat,Doctorate degree,Likely,Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)
64,NA,NA,NA,1,---1,0,62,Female,White,Independent,Associate degree,Very likely,Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)
65,3,1,2,4,3124,0,22,Male,Black or African American,Republican,Master's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)
66,4,2,1,3,4213,0,23,Male,Black or African American,Republican,Professional school degree,Very likely,Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
67,3,4,1,2,3412,0,22,Male,Black or African American,Republican,Master's degree,Very likely,Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)
68,4,1,2,3,4123,0,23,Male,Black or African American,Republican,Master's degree,Very likely,Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
69,3,4,1,2,3412,0,22,Male,Black or African American,Republican,Bachelor's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)
70,NA,2,NA,1,-2-1,0,67,Male,White,Independent,Bachelor's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)
71,3,4,1,2,3412,0,22,Male,Black or African American,Republican,Bachelor's degree,Very likely,Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)
72,3,1,2,4,3124,0,22,Male,Black or African American,Republican,Bachelor's degree,Very likely,Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
73,2,1,4,3,2143,0,24,Male,Black or African American,Republican,Bachelor's degree,Very likely,Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)
74,4,1,2,3,4123,0,34,Female,American Indian and Alaska Native,Independent,High school diploma or equivalent,Very likely,Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
75,3,4,1,2,3412,0,25,Male,Black or African American,Republican,Bachelor's degree,Very likely,Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)
76,NA,NA,1,2,--12,0,36,Female,White,Republican,Master's degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
77,2,1,3,4,2134,0,24,Male,Black or African American,Republican,Bachelor's degree,Very likely,Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
78,NA,2,NA,1,-2-1,0,77,Male,White,Republican,High school diploma or equivalent,Very likely,Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)
79,3,2,4,1,3241,0,42,Male,American Indian and Alaska Native,Independent,High school diploma or equivalent,Very likely,Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)
80,2,4,1,3,2413,0,24,Male,Black or African American,Republican,Bachelor's degree,Very likely,Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)
81,3,1,4,2,3142,0,25,Male,Black or African American,Republican,Bachelor's degree,Very likely,Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)
82,1,2,4,3,1243,0,28,Female,Asian and Pacific Islanders,Independent,Bachelor's degree,Likely,Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)
83,3,1,4,2,3142,0,19,Male,Asian and Pacific Islanders,Republican,High school diploma or equivalent,Likely,Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)
84,3,2,4,1,3241,0,39,Female,White,Independent,High school diploma or equivalent,Very likely,Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
85,2,1,4,3,2143,0,38,Male,Asian and Pacific Islanders,Republican,High school diploma or equivalent,Likely,Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)
86,4,2,1,3,4213,0,52,Female,White,Republican,Some college but no degree,Likely,Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)
87,1,NA,NA,NA,1---,0,29,Female,White,Independent,Master's degree,Very unlikely,Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
88,1,3,2,4,1324,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
