unit,blanco,brown,bush,chertoff,landrieu,nagin,vitter,ranking,treat,form,female,age,educ,ideology,partyid3
1,7,2,1,6,5,4,3,7216543,0,2,0,59,3,4,3
2,2,4,1,3,7,5,6,2413756,1,1,1,78,3,4,3
3,6,1,3,4,5,2,7,6134527,1,2,0,42,1,7,3
4,5,2,1,3,6,7,4,5213674,0,1,1,58,2,6,3
5,6,5,1,2,4,3,7,6512437,0,1,1,42,6,1,3
6,2,5,1,3,7,6,4,2513764,0,2,0,73,3,2,3
7,2,1,7,5,4,6,3,2175463,0,2,1,52,3,4,3
8,4,2,1,6,3,7,5,4216375,0,2,1,76,4,2,3
9,5,4,2,1,7,3,6,5421736,0,2,1,41,3,4,3
10,2,1,6,5,4,7,3,2165473,1,2,0,66,1,4,3
11,5,3,1,4,7,6,2,5314762,0,2,0,75,2,4,3
12,6,4,1,3,7,5,2,6413752,0,2,0,54,4,4,3
13,2,3,5,4,7,1,6,2354716,1,2,0,68,3,4,3
14,6,1,2,3,7,4,5,6123745,0,2,1,28,7,1,3
15,3,1,7,4,5,2,6,3174526,1,2,0,79,6,5,3
16,7,4,1,3,6,2,5,7413625,0,2,1,61,3,2,3
17,5,3,2,6,1,4,7,5326147,0,1,1,64,3,2,3
18,1,6,2,3,5,7,4,1623574,0,2,0,27,3,2,3
19,3,7,1,2,5,6,4,3712564,0,1,1,71,3,6,3
20,2,5,3,1,6,4,7,2531647,1,1,0,60,3,2,3
21,6,3,4,5,2,1,7,6345217,0,2,1,77,4,2,3
22,5,4,7,6,3,1,2,5476312,0,1,0,56,6,7,3
23,4,6,1,2,5,3,7,4612537,0,1,0,41,1,4,3
24,4,3,1,2,6,5,7,4312657,1,1,0,27,6,4,3
25,2,5,7,3,4,1,6,2573416,0,2,1,29,4,3,3
26,7,4,1,3,5,2,6,7413526,0,1,1,71,3,2,3
27,5,2,1,7,3,4,6,5217346,0,2,0,39,3,4,3
28,3,2,1,5,6,4,7,3215647,1,2,0,53,2,2,3
29,2,6,7,4,3,1,5,2674315,0,2,1,42,7,5,3
30,4,2,1,3,5,7,6,4213576,0,2,1,63,3,4,3
31,4,2,1,5,7,3,6,4215736,1,2,1,27,4,2,3
32,6,2,1,3,7,5,4,6213754,0,2,0,62,9,2,3
33,4,3,1,2,7,5,6,4312756,1,2,1,68,4,2,3
34,NA,NA,1,NA,NA,NA,NA,--1----,0,1,1,33,6,4,3
35,5,2,1,3,7,4,6,5213746,1,1,1,86,3,2,3
36,5,2,1,4,7,3,6,5214736,1,2,0,29,5,2,3
37,5,4,1,2,7,6,3,5412763,0,1,1,32,6,2,3
38,5,2,1,3,7,6,4,5213764,0,1,1,45,4,1,3
39,4,1,3,2,6,7,5,4132675,1,2,0,46,3,6,3
40,7,5,1,4,3,2,6,7514326,0,1,0,44,3,6,3
41,4,5,1,2,7,3,6,4512736,1,2,0,30,5,2,3
42,4,3,1,2,7,5,6,4312756,1,1,1,68,3,4,3
43,4,5,1,2,7,3,6,4512736,1,2,1,53,4,4,3
44,2,4,5,6,7,1,3,2456713,0,2,1,21,6,4,3
45,3,2,1,5,7,4,6,3215746,1,1,1,46,6,1,3
46,6,2,1,3,5,7,4,6213574,1,2,0,69,2,4,3
47,5,4,1,3,7,6,2,5413762,0,2,0,37,3,4,3
48,3,2,1,7,6,4,5,3217645,1,1,0,38,6,3,3
49,4,2,1,7,6,3,5,4217635,1,2,0,38,3,4,3
50,5,2,1,3,6,7,4,5213674,0,1,0,19,2,4,3
51,4,2,1,6,5,7,3,4216573,1,1,0,52,3,5,3
52,7,5,1,2,6,4,3,7512643,0,2,0,21,2,4,3
53,7,2,1,6,4,3,5,7216435,0,1,1,50,4,4,3
54,4,3,1,2,6,7,5,4312675,0,2,0,50,1,4,3
55,7,2,1,5,6,4,3,7215643,0,1,0,72,4,4,3
56,7,5,1,4,3,2,6,7514326,0,2,0,39,3,1,3
57,5,1,2,3,7,4,6,5123746,0,2,1,69,6,4,3
58,6,4,3,2,7,1,5,6432715,1,2,1,31,4,4,3
59,3,4,7,2,1,6,5,3472165,0,2,1,27,4,2,3
60,5,2,1,3,7,4,6,5213746,1,1,1,49,7,2,3
61,5,3,1,2,7,4,6,5312746,1,2,0,49,4,6,3
62,6,4,1,5,7,2,3,6415723,0,1,0,31,8,2,3
63,5,2,1,4,7,3,6,5214736,0,1,1,27,7,2,3
64,6,1,7,5,4,2,3,6175423,1,1,1,27,3,6,3
65,6,7,1,5,3,4,2,6715342,0,1,1,28,4,2,3
66,6,3,2,5,7,1,4,6325714,1,2,1,39,2,3,3
67,4,1,2,3,6,5,7,4123657,0,1,1,54,7,2,3
68,3,1,5,4,6,2,7,3154627,0,2,0,71,7,3,3
69,5,3,1,2,6,4,7,5312647,1,2,1,18,2,4,3
70,2,4,1,7,5,6,3,2417563,0,1,1,62,1,2,3
71,7,6,1,3,5,4,2,7613542,0,1,1,48,4,4,3
72,7,3,1,5,4,6,2,7315462,0,1,0,20,4,4,3
73,4,1,3,2,6,7,5,4132675,1,1,0,18,1,3,3
74,2,4,7,1,6,3,5,2471635,0,2,0,43,4,4,3
75,3,2,1,4,6,5,7,3214657,0,1,0,49,4,2,3
76,4,3,1,2,6,5,7,4312657,0,1,1,40,7,4,3
77,6,2,4,1,7,3,5,6241735,1,2,1,62,3,4,3
78,3,5,1,2,7,6,4,3512764,1,2,0,42,9,2,3
79,6,2,1,3,5,4,7,6213547,0,2,0,33,7,2,3
80,6,2,3,1,7,4,5,6231745,1,2,1,68,7,2,3
81,NA,NA,NA,NA,NA,NA,NA,-------,1,2,0,27,3,4,3
82,2,1,3,7,5,4,6,2137546,1,2,1,25,6,5,3
83,2,3,4,5,7,1,6,2345716,1,2,1,44,6,4,3
84,3,5,2,7,1,6,4,3527164,0,2,0,45,3,6,3
85,4,2,1,3,7,5,6,4213756,1,1,0,54,4,3,3
86,2,1,3,4,7,5,6,2134756,1,2,1,55,4,4,3
87,5,3,2,1,4,7,6,5321476,1,1,1,32,7,4,3
88,3,6,1,5,7,2,4,3615724,0,2,1,60,3,4,3
89,4,1,6,2,7,5,3,4162753,0,2,0,57,6,3,3
90,5,2,1,3,4,7,6,5213476,0,1,1,49,3,4,3
91,NA,NA,1,NA,NA,NA,NA,--1----,0,1,1,28,4,4,3
92,5,2,1,3,6,7,4,5213674,0,2,1,31,5,2,3
93,5,2,1,3,6,7,4,5213674,1,2,0,35,3,2,3
94,2,3,5,4,7,1,6,2354716,0,1,1,66,3,4,3
95,2,6,7,5,4,1,3,2675413,1,1,0,41,5,5,3
96,4,2,1,3,6,7,5,4213675,1,1,1,65,3,2,3
97,6,4,7,1,5,3,2,6471532,0,2,1,41,4,4,3
98,1,4,2,5,7,3,6,1425736,1,2,1,61,3,4,2
99,4,1,2,5,7,3,6,4125736,1,2,1,43,6,2,2
100,NA,NA,NA,NA,NA,NA,NA,-------,0,2,1,39,3,4,2
101,3,4,7,5,1,6,2,3475162,0,1,0,76,4,4,2
102,2,4,6,7,3,1,5,2467315,0,1,0,40,6,6,2
103,2,1,3,5,6,4,7,2135647,1,1,0,34,9,2,2
104,6,5,1,2,4,7,3,6512473,0,1,1,39,2,4,2
105,1,2,3,5,6,4,7,1235647,1,1,0,46,3,NA,2
106,4,2,5,1,7,3,6,4251736,1,2,0,39,2,4,2
107,NA,NA,NA,NA,NA,NA,NA,-------,1,2,1,42,6,5,2
108,3,4,1,2,7,6,5,3412765,1,1,1,27,3,2,2
