unit,chesbro,kelley,murkowski,tshibaka,ranking,treat,age,gender,race,partisanship,education,vote_likelihood,display_order
166,4,1,3,2,4132,0,37,Female,White,Independent,Associate degree,Likely,Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)
167,4,1,2,3,4123,0,50,Female,Black or African American,Republican,Bachelor's degree,Unlikely,Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
168,4,1,2,3,4123,0,87,Female,White,Republican,High school diploma or equivalent,Very unlikely,Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)
169,4,2,3,1,4231,0,39,Female,White,Independent,Some college but no degree,Very likely,Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
170,3,2,4,1,3241,0,75,Female,White,Republican,Master's degree,Very likely,Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
171,4,1,2,3,4123,0,29,Female,White,Republican,Some college but no degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)
172,4,1,2,3,4123,0,31,Female,White,Democrat,High school diploma or equivalent,Very unlikely,Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
173,2,3,1,4,2314,0,66,Female,White,Independent,Master's degree,Very likely,Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)
174,1,4,2,3,1423,0,39,Male,White,Republican,Associate degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)
175,3,2,1,4,3214,0,18,Female,White,Independent,Associate degree,Very likely,Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)
176,1,2,4,3,1243,0,27,Male,White,Independent,Some college but no degree,Likely,Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)
177,2,1,3,4,2134,0,29,Female,White,Republican,Less than high school diploma,Very unlikely,Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)
178,3,2,4,1,3241,0,77,Male,White,Other Party,Master's degree,Very likely,Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)
179,1,3,4,2,1342,0,47,Female,White,Independent,Bachelor's degree,Very likely,Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)
180,1,2,4,3,1243,0,24,Male,White,Independent,High school diploma or equivalent,Very unlikely,Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
181,4,2,3,1,4231,0,20,Female,White,Other Party,High school diploma or equivalent,Unlikely,Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)
182,4,3,1,2,4312,0,22,Male,American Indian and Alaska Native,Independent,Some college but no degree,Unlikely,Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)
183,2,1,4,3,2143,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)
184,3,4,2,1,3421,0,23,Male,White,Republican,Bachelor's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)
185,2,3,4,1,2341,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)
186,3,1,2,4,3124,0,24,Male,Black or African American,Republican,Bachelor's degree,Very likely,Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)
187,4,2,1,3,4213,0,23,Male,White,Republican,Bachelor's degree,Very likely,Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
188,1,4,3,2,1432,0,25,Male,Black or African American,Republican,Bachelor's degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)
189,2,3,1,4,2314,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
190,3,4,1,2,3412,0,23,Male,White,Republican,Bachelor's degree,Very likely,Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)
191,4,3,2,1,4321,0,18,Male,Black or African American,Independent,High school diploma or equivalent,Other,Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
192,4,3,1,2,4312,0,23,Male,Black or African American,Republican,Bachelor's degree,Very unlikely,Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
193,1,3,2,4,1324,0,31,Male,White,Democrat,Bachelor's degree,Very likely,Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
194,2,4,3,1,2431,0,25,Male,Black or African American,Republican,Bachelor's degree,Very likely,Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)
195,4,3,2,1,4321,0,26,Male,Black or African American,Republican,Bachelor's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
196,3,1,4,2,3142,0,23,Male,White,Republican,Master's degree,Very likely,Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)
197,4,1,3,2,4132,0,24,Male,Black or African American,Republican,Bachelor's degree,Very likely,Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
198,3,2,1,4,3214,0,26,Male,Black or African American,Republican,Bachelor's degree,Very likely,Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)
199,1,3,4,2,1342,0,23,Male,Latino or Hispanic,Democrat,Associate degree,Very likely,Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)
200,4,2,3,1,4231,0,25,Male,Black or African American,Republican,Bachelor's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
201,2,3,1,4,2314,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
202,4,3,1,2,4312,0,25,Male,Black or African American,Republican,Bachelor's degree,Very likely,Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
203,1,3,4,2,1342,0,31,Male,White,Democrat,Master's degree,Very unlikely,Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
204,1,3,2,4,1324,0,23,Male,White,Republican,Bachelor's degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
205,4,1,2,3,4123,0,24,Female,White,Republican,Some college but no degree,Very likely,Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)
206,3,1,2,4,3124,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)
207,4,3,1,2,4312,0,24,Male,Black or African American,Republican,Bachelor's degree,Very likely,Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
208,4,2,3,1,4231,0,23,Male,White,Republican,Bachelor's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
209,4,1,2,3,4123,0,27,Female,Black or African American,Republican,High school diploma or equivalent,Likely,Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
210,4,1,2,3,4123,0,39,Male,American Indian and Alaska Native,Independent,Some college but no degree,Unlikely,Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
211,1,4,3,2,1432,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)
212,4,2,3,1,4231,0,23,Male,Black or African American,Republican,Bachelor's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
213,4,1,3,2,4132,0,24,Male,Black or African American,Republican,Bachelor's degree,Very likely,Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
214,3,2,1,4,3214,0,23,Male,White,Republican,Bachelor's degree,Very likely,Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)
215,4,1,3,2,4132,0,25,Male,Black or African American,Republican,Bachelor's degree,Very likely,Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
216,4,2,3,1,4231,0,62,Male,American Indian and Alaska Native,Republican,Some college but no degree,Very likely,Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)
217,3,2,4,1,3241,0,30,Female,White,Other Party,Some college but no degree,Other,Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
218,4,2,3,1,4231,0,22,Female,White,Republican,High school diploma or equivalent,Likely,Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
219,2,3,4,1,2341,0,82,Female,White,Republican,Some college but no degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)
220,1,3,4,2,1342,0,37,Female,White,Democrat,Bachelor's degree,Very likely,Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)
221,1,4,2,3,1423,0,36,Female,White,Democrat,Bachelor's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)
222,4,3,1,2,4312,0,47,Female,Black or African American,Independent,Some college but no degree,Other,Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
223,4,2,3,1,4231,0,32,Female,Asian and Pacific Islanders,Independent,Bachelor's degree,I already voted using Vote-by-Mail,Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)
224,1,3,2,4,1324,0,60,Female,White,Democrat,High school diploma or equivalent,Very likely,Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)
225,1,2,4,3,1243,0,38,Female,White,Democrat,Bachelor's degree,Very likely,Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
226,1,2,4,3,1243,0,24,Female,White,Other Party,Some college but no degree,Very unlikely,Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
227,4,2,1,3,4213,0,36,Female,White,Republican,High school diploma or equivalent,Very likely,Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)
228,3,2,1,4,3214,0,29,Female,White,Independent,Bachelor's degree,Likely,Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
229,4,3,1,2,4312,0,63,Female,American Indian and Alaska Native,Republican,Some college but no degree,Unlikely,Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)
230,1,3,2,4,1324,0,29,Female,White,Democrat,Some college but no degree,Likely,Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
231,1,3,2,4,1324,0,42,Female,White,Democrat,Bachelor's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)
232,2,3,1,4,2314,0,32,Female,Other,Independent,Master's degree,Likely,Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
233,2,3,1,4,2314,0,55,Female,White,Independent,Master's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
234,2,3,1,4,2314,0,47,Female,American Indian and Alaska Native,Independent,Bachelor's degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
235,4,1,2,3,4123,0,43,Female,White,Republican,Associate degree,Likely,Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
236,3,1,4,2,3142,0,63,Female,White,Republican,Some college but no degree,Likely,Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
237,4,3,1,2,4312,0,36,Female,White,Republican,High school diploma or equivalent,Very likely,Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
238,2,3,1,4,2314,0,29,Female,White,Independent,High school diploma or equivalent,Very likely,Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)
239,1,4,3,2,1432,0,32,Male,White,Republican,Master's degree,Very likely,Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
240,2,3,1,4,2314,0,65,Female,White,Other Party,Associate degree,Likely,Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)
241,3,2,4,1,3241,0,46,Male,White,Independent,High school diploma or equivalent,Likely,Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)
242,2,3,1,4,2314,0,40,Female,White,Republican,Some college but no degree,Likely,Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)
243,4,2,1,3,4213,0,36,Male,White,Democrat,Bachelor's degree,Very likely,Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)
244,4,2,3,1,4231,0,45,Female,White,Republican,Some college but no degree,Very unlikely,Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
245,1,2,3,4,1234,0,30,Male,White,Democrat,Master's degree,Unlikely,Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
246,2,3,1,4,2314,0,48,Male,Asian and Pacific Islanders,Republican,Bachelor's degree,Very likely,Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)
247,1,3,2,4,1324,0,71,Female,White,Democrat,High school diploma or equivalent,Very likely,Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)
248,1,4,2,3,1423,0,37,Female,Latino or Hispanic,Republican,Associate degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)
249,4,3,1,2,4312,0,22,Female,White,Republican,High school diploma or equivalent,Very likely,Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)
250,3,2,4,1,3241,0,73,Female,White,Republican,Some college but no degree,Very likely,Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)
251,1,3,2,4,1324,0,74,Other,White,Democrat,Bachelor's degree,Very likely,Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)
252,2,3,1,4,2314,0,66,Female,White,Independent,Some college but no degree,Very unlikely,Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
253,1,3,4,2,1342,0,30,Female,Latino or Hispanic,Independent,High school diploma or equivalent,Unlikely,Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)
254,1,3,2,4,1324,0,57,Female,White,Independent,Bachelor's degree,Very likely,Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
255,4,2,3,1,4231,0,48,Female,White,Republican,Bachelor's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
256,2,3,4,1,2341,0,39,Female,Other,Republican,High school diploma or equivalent,Likely,Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
257,2,3,1,4,2314,0,61,Female,American Indian and Alaska Native,Independent,Some college but no degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)
258,3,1,4,2,3142,0,20,Prefer not to tell,American Indian and Alaska Native,Independent,Prefer not to say,Likely,Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)
259,2,3,1,4,2314,0,42,Female,White,Democrat,Associate degree,Very likely,Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)
260,4,2,3,1,4231,0,65,Female,White,Republican,Some college but no degree,Very likely,Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)
261,2,3,4,1,2341,0,44,Female,White,Republican,Some college but no degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)
262,2,1,4,3,2143,0,54,Female,White,Republican,Some college but no degree,Likely,Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)
263,2,3,4,1,2341,0,57,Female,White,Independent,High school diploma or equivalent,Very likely,Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)
264,2,3,1,4,2314,0,60,Female,American Indian and Alaska Native,Independent,Some college but no degree,Very likely,Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
265,3,2,4,1,3241,0,42,Female,American Indian and Alaska Native,Democrat,Some college but no degree,Very unlikely,Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
266,1,2,3,4,1234,0,74,Female,White,Independent,Some college but no degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)
267,4,1,3,2,4132,0,24,Female,White,Republican,Bachelor's degree,I already voted using Vote-by-Mail,Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)
268,2,1,4,3,2143,0,42,Female,White,Independent,Associate degree,Very likely,Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
269,4,3,1,2,4312,0,46,Female,White,Republican,Some college but no degree,Very likely,Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)
270,4,2,3,1,4231,0,54,Female,White,Republican,Bachelor's degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
271,2,4,1,3,2413,0,54,Female,White,Independent,Master's degree,Very likely,Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)
272,1,3,2,4,1324,0,65,Female,White,Democrat,Master's degree,Very likely,Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)
273,1,4,2,3,1423,0,26,Female,Asian and Pacific Islanders,Democrat,Associate degree,Very likely,Patricia R. Chesbro (Registered Democrat)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Kelly C. Tshibaka (Registered Republican)
274,1,4,2,3,1423,0,25,Female,American Indian and Alaska Native,Democrat,High school diploma or equivalent,Likely,Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
275,4,1,3,2,4132,0,38,Female,White,Republican,High school diploma or equivalent,Unlikely,Buzz A. Kelley (Registered Republican)|Kelly C. Tshibaka (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Lisa Murkowski (Registered Republican)
276,1,3,2,4,1324,0,40,Female,White,Democrat,Master's degree,Very likely,Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)
277,3,2,1,4,3214,0,20,Male,Latino or Hispanic,Democrat,Some college but no degree,Very likely,Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)|Kelly C. Tshibaka (Registered Republican)
278,1,4,2,3,1423,0,34,Female,Black or African American,Independent,Some college but no degree,Likely,Kelly C. Tshibaka (Registered Republican)|Lisa Murkowski (Registered Republican)|Buzz A. Kelley (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
279,1,3,2,4,1324,0,44,Female,White,Independent,Some college but no degree,Likely,Kelly C. Tshibaka (Registered Republican)|Buzz A. Kelley (Registered Republican)|Lisa Murkowski (Registered Republican)|Patricia R. Chesbro (Registered Democrat)
